Id,username,name,group,phone
665399396,ComicEnthousiast,BoguChogu,@Saitama_Inu,
2124690106,Liani92,G,@Saitama_Inu,
1910896716,B_llionaire,Billionaire 🤑📊,@Saitama_Inu,
5000822083,djmaverick168,RommelD,@Saitama_Inu,
2084581507,Eli4u2c,EliJacq,@Saitama_Inu,
1324603819,lunaluvs,Luna,@Saitama_Inu,
1666192440,,ابو خليل,@Saitama_Inu,
5011526748,YanTiforp,YanTif'orp,@Saitama_Inu,
1664442006,AdrVld,AdrVld,@Saitama_Inu,
2127526445,milad_service_94949,Milad service,@Saitama_Inu,
2107917991,Milad_servicemdkd,MiladService,@Saitama_Inu,
2136493403,CDSmackabear,ShaneD,@Saitama_Inu,
1338785836,swiftpand,Sop,@Saitama_Inu,
1243650308,,Erhan,@Saitama_Inu,
1554737539,freedomoftheunbanked,Andreas (Will never dm you first),@Saitama_Inu,
777479552,HoshamIBRAHIM,HoshamIbrahim,@Saitama_Inu,
5042745491,,BahSantos,@Saitama_Inu,
359860888,modihabi,Arab Money,@Saitama_Inu,
5064448583,Monski2002,KomodoDragon,@Saitama_Inu,
747884923,,Trivia [will not Dm first],@Saitama_Inu,
1201768669,Dah_Grinch,CharlesOdiyeye,@Saitama_Inu,
1023435281,omoglu,ShashankSingh,@Saitama_Inu,
1599333856,ilcod000,Orion,@Saitama_Inu,
1314503525,,DéograciasMETOGBE,@Saitama_Inu,
810841061,BlueYounder,Blue,@Saitama_Inu,
1781552854,,JoseC,@Saitama_Inu,
1609059803,,Mr18,@Saitama_Inu,
376724734,JumanjiBK,Julian | RPS,@Saitama_Inu,
1883894071,,Chelle,@Saitama_Inu,
1079691208,alipik666,77,@Saitama_Inu,
1962618596,ramz909,RamzRamz,@Saitama_Inu,
1853039910,,incognit0,@Saitama_Inu,
303790411,ronironzie,Roni Fe,@Saitama_Inu,
1236262972,,Joe,@Saitama_Inu,
2006710946,,SANDEEPNARULA,@Saitama_Inu,
1099905688,,achouakben,@Saitama_Inu,
1085641397,Yaslam,HASSANII,@Saitama_Inu,
1319332195,,LeaderBitcion,@Saitama_Inu,
5061802617,,Hicham,@Saitama_Inu,
1754952550,Ca33andra,CASSANDRA,@Saitama_Inu,
843722096,iAM110,AM,@Saitama_Inu,
345174364,SandeepMangal91,S.G.W,@Saitama_Inu,
1345814090,As1ngh,ASingh,@Saitama_Inu,
1443830942,CENTROID747,CENTROID,@Saitama_Inu,
1293056040,,H2O,@Saitama_Inu,
1909331385,yave0112,애플,@Saitama_Inu,
2053090020,brendasmith4,brendasmith,@Saitama_Inu,
1780820815,irk079,Irfan RazaaKhan,@Saitama_Inu,
1157042065,emilylogan0970,EmilyLogan,@Saitama_Inu,
480191271,Mkay2010,Mk,@Saitama_Inu,
95207117,fernando88ok,Tobe,@Saitama_Inu,
1600857277,Samanimkr,Samani,@Saitama_Inu,
1139770755,lookensss,AmanguoiAlex,@Saitama_Inu,
1187527718,corni77,Corni,@Saitama_Inu,
1201865556,Joseptoyin,OlugbodiJoseph,@Saitama_Inu,
1529603510,Leonyabs1,LeeNyabs,@Saitama_Inu,
551238749,BSI2210,BenE2Sa,@Saitama_Inu,
1443270050,,AbdullahYazıcı,@Saitama_Inu,
1515796781,,SHILL-NOBI-Joey,@Saitama_Inu,
932023153,,Speed,@Saitama_Inu,
2132578586,,Allan,@Saitama_Inu,
746752351,Cidasis,CIDASIS,@Saitama_Inu,
422579223,Bukkhari,bukha,@Saitama_Inu,
695557806,Crispreme,DeFiCris*+*IG@CRISPREME🧪🧪Cris,@Saitama_Inu,
825606928,karuma123,Satya,@Saitama_Inu,
667257735,LeaderPrince,GAmsugHvinci,@Saitama_Inu,
2063927549,,KyleRussell,@Saitama_Inu,
